size, customer, years_trading, years_customer, turn_over, bop, credit_rating, employees, corporate_family, country, 	market, period, abc, ly_spend, budget_spend, curr_period_fc, last_period, curr_period_ly, weather_fc, make_budget_lp, make_budget_ply, make_budget, probability
VS,4045,19,16,69107,73, d,1,n,uk,flat,10,c,65652,5471,4377,4158,3393,l-rain,n,y,0,1.0
S,4046,9,4,185510,78, cc,1,n,uk,flat,10,c,148408,12368,9894,11502,8163,l-rain,n,y,1,0.8030387
VS,4047,11,9,78793,82, cc,1,n,norway,flat,10,c,58307,4859,2430,4859,4568,rain,n,y,0,1.0
S,4048,18,10,201014,81, ccc,2,n,sweden,flat,10,c,130660,10889,10889,10235,6533,fine,y,y,1,1.0
VS,4049,6,3,87226,30, b,1,n,uk,pitched,10,b,77632,6470,5176,5111,4464,l-rain,y,y,0,1.0
S,4050,18,5,192384,89, b,1,n,norway,flat,10,a,105812,8818,4409,7584,8554,rain,y,y,0,1.0
VS,4051,14,4,83437,21, dd,1,n,finland,flat,10,a,42553,3547,2837,3015,3227,l-snow,y,y,1,0.9164327
S,4052,5,0,127058,56, b,1,n,sweden,pitched,10,b,71153,5930,5930,4803,4388,fine,n,y,0,1.0
VS,4053,14,13,56079,65, c,1,n,denmark,pitched,10,c,39817,3319,2655,2224,2423,l-snow,y,y,0,1.0
S,4054,19,7,222452,29, c,2,n,sweden,pitched,10,c,131247,10938,10938,8532,9516,fine,n,y,0,1.0
VS,4055,5,1,74933,45, b,1,n,sweden,pitched,10,c,43462,3622,3622,2391,2789,fine,y,n,0,1.0
S,4056,15,10,182538,76, dd,1,n,finland,pitched,10,c,142380,11865,9492,8781,7357,l-snow,y,n,0,1.0
VS,4057,20,6,52815,44, b,1,n,uk,pitched,10,a,34858,2905,2324,1918,2760,l-rain,y,y,0,1.0
S,4058,7,6,172281,56, dd,1,n,sweden,pitched,10,c,165390,13783,13783,10889,8683,fine,y,n,0,1.0
VS,4059,7,7,82495,34, ddd,1,n,uk,flat,10,b,48673,4057,3245,4016,3326,l-rain,n,y,0,1.0
S,4060,6,6,229905,79, cc,2,n,norway,flat,10,a,119551,9963,4982,6476,8668,rain,n,n,0,1.0
VS,4061,5,4,57671,89, b,1,n,finland,flat,10,c,34026,2836,2269,1957,2723,l-snow,y,n,0,1.0
S,4062,11,4,107724,68, ccc,1,n,uk,pitched,10,b,104493,8708,6967,7663,6792,l-rain,y,y,0,1.0
VS,4063,7,0,75499,47, ddd,1,n,sweden,pitched,10,b,72480,6040,6040,4772,5859,fine,n,n,0,0.9997502
S,4064,18,14,111797,52, ccc,1,n,sweden,flat,10,a,59253,4938,4938,3704,3309,fine,y,n,0,0.9983575
VS,4065,1,1,59562,72, b,1,n,uk,flat,10,c,58967,4914,3932,3244,4423,l-rain,y,y,0,1.0
S,4066,10,7,106081,85, ccc,1,n,denmark,pitched,10,b,60467,5039,4032,4586,4183,l-snow,y,y,0,1.0
VS,4067,12,1,78140,59, c,1,n,uk,flat,10,c,46103,3842,3074,3074,2382,l-rain,y,y,0,1.0
S,4068,14,10,179200,98, cc,1,n,sweden,flat,10,a,143360,11947,11947,11708,9199,fine,y,n,1,1.0
VS,4069,11,7,87537,56, cc,1,n,sweden,pitched,10,c,53398,4450,4450,2982,3605,fine,y,y,0,1.0
S,4070,11,5,136917,96, b,1,n,norway,pitched,10,a,69828,5819,2910,4307,4248,rain,n,y,0,1.0
VS,4071,20,10,75965,12, cc,1,n,norway,flat,10,b,60772,5065,2533,3191,4812,rain,y,n,0,1.0
S,4072,8,2,103215,73, dd,1,n,uk,flat,10,c,84637,7054,5643,4514,6771,l-rain,y,y,0,1.0
VS,4073,12,0,94912,78, c,1,n,denmark,flat,10,c,80676,6723,5379,5110,4572,l-snow,y,y,0,1.0
S,4074,14,3,143289,25, c,1,n,norway,pitched,10,c,124662,10389,5195,8727,8103,rain,y,y,0,1.0
VS,4075,16,15,79819,93, b,1,n,uk,pitched,10,a,75030,6253,5002,4690,3877,l-rain,n,n,0,1.0
S,4076,10,3,225827,41, cc,2,n,sweden,pitched,10,a,153563,12797,12797,8830,11262,fine,y,n,1,0.7096986
VS,4077,3,2,64003,44, d,1,n,uk,flat,10,c,48003,4001,3201,2641,2441,l-rain,y,y,0,1.0
S,4078,11,0,156050,96, dd,1,n,norway,pitched,10,c,98312,8193,4097,7865,7538,rain,n,y,0,1.0
VS,4079,11,3,62542,30, d,1,n,uk,pitched,10,b,48783,4066,3253,3944,3822,l-rain,n,y,1,1.0
S,4080,5,4,224320,71, b,2,n,norway,pitched,10,b,141322,11777,5889,9657,9775,rain,n,y,0,1.0
VS,4081,14,2,78137,38, ccc,1,n,sweden,flat,10,b,41413,3452,3452,3210,2692,fine,y,y,1,1.0
S,4082,12,3,116849,79, ddd,1,n,finland,flat,10,b,81795,6817,5453,5999,6680,l-snow,y,n,0,1.0
VS,4083,7,6,54049,81, ccc,1,n,finland,pitched,10,a,50266,4189,3352,2681,3310,l-snow,n,n,0,1.0
S,4084,7,1,180194,18, dd,1,n,finland,pitched,10,c,163977,13665,10932,10659,11616,l-snow,y,y,0,1.0
VS,4085,3,0,54871,69, cc,1,n,denmark,pitched,10,b,47190,3933,3146,3736,2478,l-snow,n,y,1,0.99989367
S,4086,14,11,247676,94, dd,2,n,norway,flat,10,a,165943,13829,6915,12170,11617,rain,y,y,0,1.0
VS,4087,15,14,91148,15, dd,1,n,uk,pitched,10,a,83857,6989,5591,4752,5870,l-rain,n,y,0,1.0
S,4088,18,15,245310,36, ccc,2,n,denmark,pitched,10,c,147186,12266,9813,9813,7360,l-snow,n,y,0,1.0
VS,4089,11,6,71250,74, dd,1,n,denmark,pitched,10,c,58425,4869,3895,3847,3506,l-snow,y,y,0,1.0
S,4090,9,3,162418,14, d,1,n,norway,flat,10,c,84458,7039,3520,5209,6405,rain,n,y,0,1.0
VS,4091,18,6,92523,98, b,1,n,denmark,pitched,10,c,62916,5243,4195,4509,3933,l-snow,n,n,0,1.0
S,4092,13,0,207390,69, dd,2,n,sweden,pitched,10,c,103695,8642,8642,5272,8642,fine,n,n,0,0.9997429
VS,4093,2,2,65971,100, b,1,n,denmark,flat,10,c,36944,3079,2463,1940,1848,l-snow,n,y,0,1.0
S,4094,18,3,196042,54, d,1,n,finland,pitched,10,c,143111,11926,9541,8706,7395,l-snow,y,n,0,1.0
VS,4095,2,0,84510,33, cc,1,n,denmark,flat,10,c,70989,5916,4733,3846,4260,l-snow,y,y,0,1.0
S,4096,12,8,103370,21, dd,1,n,denmark,flat,10,b,70292,5858,4687,4979,3867,l-snow,y,n,0,1.0
VS,4097,10,8,93600,85, ddd,1,n,sweden,flat,10,c,91728,7644,7644,6269,5351,fine,y,n,1,0.9999844
S,4098,10,5,224221,5, cc,2,n,sweden,flat,10,b,188346,15696,15696,13185,10203,fine,y,y,1,1.0
VS,4099,2,0,90530,50, c,1,n,sweden,pitched,10,c,72424,6036,6036,5372,3742,fine,n,n,1,1.0
S,4100,17,0,198920,31, d,1,n,finland,flat,10,c,175050,14588,11670,10649,10358,l-snow,y,n,0,1.0
VS,4101,8,5,93922,5, b,1,n,sweden,pitched,10,c,49779,4149,4149,2821,3278,fine,n,n,0,1.0
S,4102,18,7,248927,80, ccc,2,n,sweden,flat,10,a,166782,13899,13899,13621,12370,fine,n,n,1,1.0
VS,4103,12,7,65444,30, ddd,1,n,uk,pitched,10,c,64790,5400,4320,4914,3726,l-rain,y,y,0,1.0
S,4104,11,7,187642,11, b,1,n,norway,flat,10,c,138856,11572,5786,8679,8332,rain,y,y,0,1.0
VS,4105,20,12,58543,95, ccc,1,n,sweden,pitched,10,b,38053,3172,3172,2125,2632,fine,n,y,1,1.0
S,4106,12,4,244083,84, d,2,n,sweden,pitched,10,c,209912,17493,17493,11196,11546,fine,n,n,0,1.0
VS,4107,18,5,65993,49, c,1,n,sweden,pitched,10,a,61374,5115,5115,4655,4962,fine,n,y,1,1.0
S,4108,14,10,103232,97, ccc,1,n,sweden,flat,10,b,71231,5936,5936,3621,5640,fine,y,y,0,1.0
VS,4109,11,10,81502,93, d,1,n,denmark,flat,10,c,72537,6045,4836,5924,3869,l-snow,y,n,1,1.0
S,4110,19,7,122086,11, cc,1,n,uk,pitched,10,a,108657,9055,7244,5705,6520,l-rain,n,y,0,1.0
VS,4111,7,4,54448,99, b,1,n,sweden,pitched,10,c,39748,3313,3313,2849,2750,fine,n,y,1,0.9990753
S,4112,8,7,138148,90, ddd,1,n,uk,flat,10,b,71837,5987,4790,4430,4071,l-rain,y,y,0,1.0
VS,4113,9,7,91509,98, b,1,n,denmark,flat,10,b,80528,6711,5369,4161,5369,l-snow,y,n,0,1.0
S,4114,5,5,179088,93, d,1,n,finland,flat,10,c,127153,10597,8477,9431,7418,l-snow,y,n,0,1.0
VS,4115,16,5,77251,10, b,1,n,norway,flat,10,c,67209,5601,2801,5433,4201,rain,y,n,0,1.0
S,4116,14,8,241072,27, b,2,n,denmark,pitched,10,b,226608,18884,15108,13597,12464,l-snow,y,y,0,1.0
VS,4117,7,3,76598,86, ccc,1,n,finland,flat,10,b,57449,4788,3830,4405,4453,l-snow,y,y,0,0.9999995
S,4118,9,7,111891,70, ccc,1,n,sweden,flat,10,c,90632,7553,7553,6873,7100,fine,n,y,1,1.0
VS,4119,17,4,82786,50, c,1,n,norway,pitched,10,b,48016,4002,2001,2801,2401,rain,y,y,0,1.0
S,4120,10,3,110594,9, ddd,1,n,sweden,flat,10,b,75204,6267,6267,4325,5390,fine,n,y,0,0.9738584
VS,4121,20,9,65995,66, b,1,n,denmark,flat,10,c,61376,5115,4092,3427,3530,l-snow,y,y,0,1.0
S,4122,7,5,131629,87, ddd,1,n,finland,pitched,10,b,67131,5595,4476,4364,4196,l-snow,y,n,0,1.0
VS,4123,20,3,93253,15, ddd,1,n,denmark,pitched,10,b,68075,5673,4539,5560,3461,l-snow,n,y,0,1.0
S,4124,8,3,205525,51, c,2,n,finland,pitched,10,b,176752,14730,11784,13846,13404,l-snow,y,y,1,1.0
VS,4125,2,2,75763,100, cc,1,n,finland,pitched,10,c,38640,3220,2576,2480,2319,l-snow,y,n,0,1.0
S,4126,16,10,167207,37, b,1,n,sweden,pitched,10,b,133766,11148,11148,9921,9030,fine,n,y,1,1.0
VS,4127,8,6,74418,42, dd,1,n,denmark,pitched,10,c,55070,4590,3672,3167,3718,l-snow,n,y,0,1.0
S,4128,6,0,236247,99, ccc,2,n,denmark,pitched,10,b,179548,14963,11970,12419,11671,l-snow,n,n,0,1.0
VS,4129,5,3,85007,50, ddd,1,n,denmark,pitched,10,c,79907,6659,5328,4728,4395,l-snow,n,y,0,1.0
S,4130,7,2,182197,95, dd,1,n,uk,flat,10,c,102031,8503,6803,8078,7398,l-rain,y,n,0,1.0
VS,4131,14,6,81893,45, cc,1,n,sweden,pitched,10,c,66334,5528,5528,4810,4810,fine,n,n,1,1.0
S,4132,10,0,204643,45, cc,2,n,finland,pitched,10,a,145297,12109,9687,9203,10534,l-snow,y,n,0,1.0
VS,4133,18,5,88085,93, c,1,n,finland,pitched,10,b,83681,6974,5579,4812,4742,l-snow,y,n,0,1.0
S,4134,20,17,236965,66, dd,2,n,sweden,flat,10,c,194312,16193,16193,13440,15222,fine,y,y,1,1.0
VS,4135,15,0,86637,49, cc,1,n,uk,flat,10,c,85771,7148,5719,4432,5861,l-rain,y,n,0,1.0
S,4136,7,5,116762,56, c,1,n,denmark,flat,10,c,79399,6617,5294,4301,4831,l-snow,y,y,0,1.0
VS,4137,4,2,97827,57, b,1,n,norway,pitched,10,b,69458,5789,2895,3821,5152,rain,y,n,0,1.0
S,4138,7,6,105668,10, d,1,n,denmark,pitched,10,b,66571,5548,4439,4494,3995,l-snow,y,n,0,1.0
VS,4139,17,1,75296,23, d,1,n,denmark,pitched,10,c,70779,5899,4719,4542,4955,l-snow,y,n,0,1.0
S,4140,8,4,244829,99, b,2,n,uk,flat,10,c,137105,11426,9141,11197,8798,l-rain,y,n,0,1.0
VS,4141,10,2,54376,26, dd,1,n,sweden,flat,10,c,34257,2855,2855,2256,2655,fine,n,n,1,1.0
S,4142,19,17,140373,74, b,1,n,norway,flat,10,b,134759,11230,5615,7749,7524,rain,y,y,0,1.0
VS,4143,18,17,66763,10, cc,1,n,denmark,pitched,10,a,52743,4396,3517,3868,3077,l-snow,n,y,0,1.0
S,4144,9,4,131096,18, d,1,n,norway,flat,10,c,79969,6665,3333,4799,4732,rain,y,y,0,1.0
VS,4145,17,13,65961,24, b,1,n,uk,pitched,10,c,34300,2859,2287,2316,2287,l-rain,n,y,0,1.0
S,4146,11,1,161874,13, dd,1,n,norway,pitched,10,c,123025,10253,5127,9740,9842,rain,y,y,0,1.0
VS,4147,4,3,95268,87, cc,1,n,sweden,flat,10,b,51445,4288,4288,2744,3387,fine,y,y,0,1.0
S,4148,10,2,160912,51, cc,1,n,finland,pitched,10,b,101375,8448,6759,7266,5745,l-snow,y,n,0,1.0
VS,4149,9,8,81822,94, d,1,n,sweden,flat,10,c,77731,6478,6478,5766,4211,fine,y,y,1,1.0
S,4150,18,1,193915,77, b,1,n,denmark,pitched,10,c,166767,13898,11118,11257,11952,l-snow,n,y,0,1.0
VS,4151,1,0,92855,82, d,1,n,uk,pitched,10,c,87284,7274,5819,5019,5310,l-rain,y,y,0,1.0
S,4152,9,0,202290,16, cc,2,n,denmark,flat,10,c,135535,11295,9036,10617,8810,l-snow,n,y,1,0.70979923
VS,4153,7,6,50303,73, d,1,n,sweden,pitched,10,c,30685,2558,2558,1688,1765,fine,y,y,0,1.0
S,4154,6,0,134132,46, ccc,1,n,uk,flat,10,c,120719,10060,8048,6640,6439,l-rain,y,n,0,1.0
VS,4155,2,2,64543,14, b,1,n,finland,flat,10,b,43890,3658,2926,3109,2524,l-snow,y,n,0,1.0
S,4156,16,5,218380,8, cc,2,n,denmark,flat,10,c,176888,14741,11793,13267,12235,l-snow,n,y,0,1.0
VS,4157,2,2,81447,18, c,1,n,sweden,pitched,10,b,46425,3869,3869,2515,3328,fine,n,n,0,1.0
S,4158,19,6,138893,49, dd,1,n,uk,flat,10,c,88892,7408,5927,5038,6741,l-rain,y,y,0,1.0
VS,4159,12,10,78353,19, ccc,1,n,uk,flat,10,c,75219,6269,5015,3824,4639,l-rain,n,n,0,1.0
S,4160,15,12,237920,7, c,2,n,norway,pitched,10,b,235541,19629,9815,14918,15507,rain,y,n,0,1.0
VS,4161,17,12,67105,39, dd,1,n,uk,pitched,10,c,40935,3412,2729,2150,3412,l-rain,n,n,0,1.0
S,4162,20,17,207881,39, ccc,2,n,norway,flat,10,c,130966,10914,5457,8077,8732,rain,y,y,0,1.0
VS,4163,5,2,96764,16, dd,1,n,uk,pitched,10,c,64832,5403,4323,5079,5403,l-rain,y,y,1,1.0
S,4164,11,5,161713,60, d,1,n,finland,flat,10,c,142308,11859,9488,9132,11741,l-snow,y,y,0,1.0
VS,4165,14,1,76307,79, ddd,1,n,uk,flat,10,c,45785,3816,3053,3625,3701,l-rain,y,y,0,1.0
S,4166,16,8,103505,57, ddd,1,n,sweden,pitched,10,c,92120,7677,7677,4606,4606,fine,y,y,0,1.0
VS,4167,4,0,88430,20, cc,1,n,denmark,flat,10,c,44215,3685,2948,2395,2985,l-snow,y,y,0,1.0
S,4168,18,1,180717,83, ddd,1,n,uk,pitched,10,c,135538,11295,9036,9488,8698,l-rain,y,n,0,1.0
VS,4169,15,6,99050,75, dd,1,n,finland,pitched,10,c,76269,6356,5085,6356,6166,l-snow,n,y,1,1.0
S,4170,20,15,210002,36, dd,2,n,uk,pitched,10,c,178502,14876,11901,14132,9223,l-rain,y,y,1,1.0
VS,4171,19,5,76577,97, c,1,n,sweden,flat,10,a,52073,4340,4340,3732,3038,fine,y,n,1,1.0
S,4172,5,5,113753,76, c,1,n,denmark,flat,10,a,79628,6636,5309,6503,6172,l-snow,y,n,1,0.9206069
VS,4173,18,1,91364,56, d,1,n,denmark,pitched,10,b,74919,6244,4995,5619,5744,l-snow,y,n,0,0.9980726
S,4174,5,2,227528,42, ccc,2,n,norway,pitched,10,b,141068,11756,5878,9287,11051,rain,y,n,0,1.0
VS,4175,7,7,79946,73, dd,1,n,sweden,flat,10,c,74350,6196,6196,3718,4833,fine,y,y,0,1.0
